Cemetery	בית עלמין
spit encrusted paper	נייר מלא ליחה
spit encrusted paper	נייר מלא ליחה
hand and map	יד ומפה
hand and map	יד ומפה
spit encrusted paper	נייר מלא ליחה
broken bottle	בקבוק שבור
spit encrusted paper	נייר מלא ליחה
spit encrusted paper	נייר מלא ליחה
used hankie	ממחטה משומשת
I'm not holding the \xFF\x06\x01\x40.	אין ברשותי את ה\xFF\x06\x01\x40.
I'm not holding the \xFF\x06\x01\x40.	אין ברשותי את ה\xFF\x06\x01\x40.
I can't reach it.	אני לא יכול להגיע לזה. 
It doesn't seem to open.	לא נראה שזה נפתח. 
I can't move it.	אני לא יכול להזיז את זה.
Nice.	נחמד.
Nice \xFF\x06\x01\x40.	נחמד \xFF\x06\x01\x40.
Nice.	נחמד.
Nice \xFF\x06\x01\x40.	נחמד \xFF\x06\x01\x40.
Nice.	נחמד.
Nice \xFF\x06\x01\x40.	נחמד \xFF\x06\x01\x40.
Nice.	נחמד.
Nice \xFF\x06\x01\x40.	נחמד \xFF\x06\x01\x40.
Nice.	נחמד.
Nice \xFF\x06\x01\x40.	נחמד \xFF\x06\x01\x40.
I don't see anything special about it.	אני לא רואה בזה שום דבר מיוחד.
I can't pick that up.	אני לא יכול להרים את זה. 
I can't reach that from here.	אני לא יכול להגיע לזה מכאן. 
That doesn't seem to work.	לא נראה שזה עובד. 
Are you sure you want to win? (Y/N)	אתה בטוח שאתה רוצה לנצח? (כ/ל)
Molasses machine.	מכונת דבשה.
Street legal machine.	מכונה בעלת היתר נהיגה.
Trans-warp drive machine.	מכונת הינע עיוות-על.
Floppies	תקליטונים
Hard disk	כונן קשיח
Selected actor is \xFF\x04\x01\x00	השחקן שנבחר הוא \xFF\x04\x01\x00
Regular Mode	רמת קושי רגילה
Easy Mode	רמת קושי קלה
\xFF\x07\x1A\x00	\xFF\x07\x1A\x00
Talk color \xFF\x04\xE5\x01	צבע הדיבור \xFF\x04\xE5\x01
Machine rating is \xFF\x05\xBD\x00	דירוג המכונה הוא \xFF\x05\xBD\x00
Game just loaded switched you to easy mode.	המשחק שנטען העביר אותך לרמת קושי קלה
Game just loaded switched you to hard mode.	המשחק שנטען העביר אותך לרמת קושי קשה
	
\xFF\x05\x6C\x00 \xFF\x06\x6D\x00 \xFF\x05\x6F\x00 \xFF\x06\x6E\x00	\xFF\x05\x6C\x00 \xFF\x06\x6D\x00 \xFF\x05\x6F\x00 \xFF\x06\x6E\x00
\xFF\x05\x6C\x00 \xFF\x05\x6F\x00 \xFF\x06\x6E\x00	\xFF\x05\x6C\x00 \xFF\x05\x6F\x00 \xFF\x06\x6E\x00
\xFF\x05\x01\x40	\xFF\x05\x01\x40
\xFF\x07\x1C\x00	\xFF\x07\x1C\x00
Key pressed: \xFF\x04\x01\x40	המקש שנלחץ: \xFF\x04\x01\x40
Walk to	לך אל
Give	תן
Open	פתח
Close	סגור
Pick up	הרם
Look at	הסתכל על
Talk to	דבר עם
Use	הפעל
Push	דחוף
Pull	משוך
in	בתוך
with	עם 
on	על
to	אל
\xFF\x06\x00\x40	\xFF\x06\x00\x40
	
	
Hmm.  This door appears to be locked.	הממ. נראה שהדלת נעולה. 
Threepwood	כפיסדבק
this room is # \xFF\x04\x00\x40.	החדר הזה הוא # \xFF\x04\x00\x40.
	
Light-source script tried to divide by zero!	סקריפט מקור-אור ניסה לחלק באפס!
	
	
Actor-light-source script tried to divide by zero!	סקריפט מקור-אור-שחקן ניסה לחלק באפס!
	
He's back.	הוא שב.
I told you, we don't have any marshmallows.	אמרתי לך, אין לנו מרשמלו. 
	
	
\x07Well, you guys can stop worrying about Largo^	ובכן, אין לכם סיבה לחשוש עוד מתמיר^
\x07I ever tell you about the time I kicked LeChuck's butt?	האם סיפרתי לך על הפעם בה כיסחתי ללה צ'אק את הצורה?
\x07Tell me about this Largo guy.	ספר לי על התמיר הזה.
\x07So why don't you kick Largo off the island?	מדוע לא פשוט להעיף אותו מהאי?
\x07What's this about an embargo?	מה העניין הזה בנושא עוצר?
\x07How's the pirate biz?	איך עסקי השוד הימי?
\x07What's this about an embargo?	מה העניין הזה לגבי עוצר?
\x07Any idea where I could hire a ship?	יש לך מושג איפה אוכל לשכור ספינה?
\x07Do you guys know any piraty songs?	אתם מכירים שירים של שודדי ים?
\x07Do you guys know any more piraty songs?	אתם מכירים עוד שירי שודדים?
\x07Any marshmallows left?	נשאר קצת מרשמלו?
\x07Well, I'll see you salty dogs later.	טוב, נתראה אחר כך, כלבי ים מלוחים.
Look, Guybrush^	שמע, ברנשצבע^
Besides the fact that we'd all rather die than hear that story again^	מלבד העובדה שנעדיף למות ולא לשמוע את הסיפור הזה שוב^
^there's another reason you shouldn't go spreading that story around.	^יש עוד סיבה שבגינה מוטב שלא תתרוצץ ותפיץ את הסיפור הזה.
Largo LaGrande is back on Scabb.	תמיר גדליהו שב לגלד.
He used to be LeChuck's right-hand man.	הוא שימש בתפקיד יד ימינו של לה צ'אק.
You don't want to get Largo on your bad side.	לא כדאי לך להפוך את תמיר ליריב.
	
A two-bit thug!	בריון עלוב!
He's nothing but a low-down weasel!	הוא בסך הכל נוכל שפל!
	
Well, we would^	ובכן, היינו עושים זאת^
But he was very close to LeChuck^	אבל הוא היה קרוב מאוד ללה צ׳אק^
But LeChuck's gone forever!	אבל לה צ׳אק הלך לתמיד!
I heard they never found his body!	שמעתי שמעולם לא מצאו את גופתו!
That's because I blew it into a thousand pieces!	זה משום שפצפצתי אותו לאלף חתיכות!
Oh, no.  Not this story again!	אוי, לא. לא שוב הסיפור הזה!
	
Horrible.	נורא. 
The sailing embargo has all of us pirates landlocked.	עוצר השיט קרקע את כולנו שודדי הים.
We can't go about our business.	איננו יכולים לעסוק במשלח ידינו.
Some of us tried pirating on land, but it just didn't feel right.	כמה מאיתנו ניסו לשדוד על היבשה, אבל זה לא הרגיש נכון.
You'll need to go to the far side of the island^	עליך ללכת לצידו המרוחק של האי^
And there you'll meet a man named^	ושם תפגוש אדם בשם^
^Captain Dread!	^קפטן טלטלה!
Yikes!  Sounds intimidating.	אמאל׳ה! נשמע מאיים.
Not really^	לא ממש^
^once you get to know him.	^ברגע שאתה לומד להכיר אותו.
Of course, he can't take you anywhere until Largo lifts his sailing embargo.	כמובן, הוא לא יכול לקחת אותך לאף מקום עד שגדליהו יסיר את עוצר השיט.
	
The Largo Embargo!	עוצר גדליהו!
Well, it's not really an embargo.	ובכן, זה לא בדיוק עוצר.
It's a tax on ships coming or going^	זה מס על ספינות נכנסות או יוצאות^
But it's a HUGE tax that no captain on this island can afford.	אבל זה מס *ענק* שאף קפטן על האי הזה אינו מסוגל להרשות לעצמו.
Including Dread.	כולל טלטלה.
That fool Largo doesn't know when to stop.	השוטה הזה גדליהו אינו יודע שובע.
He can't take more from us than we have!	הוא לא יוכל לקחת מאיתנו יותר ממה שיש לנו!
	
Sure!  Fink here knows a million!	בטח! פינק מכיר מלאנתלפים!
Go ahead, Fink.	לך על זה, פינק.
Sing that one about Scabb Island.	תשיר את ההוא על אי הגלד.
Oh, all right^	הו, בסדר גמור^
Well, I'd rather be a pirate on Scabb^\xFF\x01Than a scab on a pirate.	ובכן, אני מעדיף להיות שודד ים על אי הגלד^|מאשר גלד על שודד ים.
And if you'll listen to me gab,\xFF\x01I'll tell you why I admire it.	אם תאזין לפטפוטי|תבין מדוע חפץ לבי להיות שם.
Oh, the people aren't too friendly.\xFF\x01And the weather's not the best.	הו, האנשים אינם נחמדים|ומזג האוויר די בינוני.
The lodging's too expensive,\xFF\x01And Largo was quite a pest.	הלינה יקרה מדי,|ותמיר היה קוץ בישבני.
The lodging's too expensive,\xFF\x01And Largo's quite a pest.	הלינה יקרה מדי,|ותמיר הוא קוץ בישבני.
But the thing I like about Scabb\xFF\x01Is what it hasn't got:	אך מה שאהבתי באי הגלד|הוא דברים שאין בו, והם אלה:
No mayor or police force\xFF\x01And no jail in which to rot.	אין ראש עיר או משטרה|ואין בכלל בית כלא.
That was beautiful.	זה היה יפהפה.
OK, here's one about a pirate, his parrot, and a tragic day at sea^	בסדר, הנה שיר על שודד ים, התוכי שלו, ויום עגום בלב ים^
You're not going to sing, `Polly the Squawker Lives in Davy Jones' locker,` are you?	אינך עומד לשיר, "פולי שאהב לקרקר גר לדייוי ג'ונס בלוקר", נכון?
You know that one always makes me cry.	אתה הרי יודע שאני תמיד בוכה בגללו.
Sorry, Bart.	צר לי, בארט.
Let me try one!	תן לי לנסות אחד!
\x0742!	\x0742!
\x07508!	\x07508!
\x074!	\x074!
\x07OK, that's enough.	\x07בסדר, מספיק.
Aw, I wasn't done.	אוו, לא סיימתי.
Oh, I wish I could par-lay\xFF\x01Some French with Governor Marley.	הו, לפטפט כמה שבא לי|בצרפתית עם המושלת מארלי.
I'd say to her, `Voo-lay-voo?`	אומר לה, `וו-לה-וו?`
I'd say to her, `Voo-lay-voo?`	אומר לה, `וו-לה-וו?`
OK!  That's enough!	בסדר! זה מספיק!
No songs about Governor Marley.	בלי שירים על המושלת מארלי.
Looks like Guybrush is still carrying a torch for the Governor.	נראה שלברנשצבע עדיין יש רגשות כלפי המושלת.
Too bad he can't even talk to her in English!	רק חבל שהוא לא מצליח אפילו לשוחח איתה בעברית!
Sorry, Mr. Sensitive.	מצטער, רגשני.
The only other songs I know are dirty ones about Governor Marley.	השירים האחרים שאני מכיר הם רק שירים מלוכלכים על המושלת מארלי.
Me too.	גם אני.
	
Marshmallows?	מרשמלו?
We don't have any marshmallows.	אין לנו מרשמלו.
What's that white, puffy thing on the end of your stick?	מה זה הדבר הלבן והתפוח שם בקצה השיפוד שלך?
It's the stuffing for under my eyepatch.	זה הבפנוכו של הרטייה שלי.
We're just sterilizing it.	אנחנו רק מחטאים אותו.
We're pirates, Guybrush, not Girl Scouts.	אנחנו שודדי-ים, ברנשצבע, לא ילדות בצופים.
He's history.	הוא כבר היסטוריה.
Oh really?	הו באמת?
He must have finally got that nasty letter I wrote.	הוא בטח קיבל סוף סוף את המכתב הנורא שכתבתי.
You sure can write a mean letter, Fink.	אתה בהחלט מסוגל לרשום מכתבים מרושעים, פינק.
That reminds me, do we have any weenies left?	זה מזכיר לי, נשארו לנו נקניקיות?
	
So I bust into the church and say, `Now you're in for it, you bilious bag of barnacle bait!`	אז התפרצתי לכנסייה ואמרתי, `זה יראה לך, שק משוקץ של פתיון סרטנים שכמוך!`
^and then LeChuck cries, `Guybrush!  Have mercy!`	^ואז לה צ'אק התחיל לבכות, `ברנשצבע! רחמים!`
`I can't take it anymore!`	`אני לא יכול לסבול את זה יותר!`
I think I know how he must have felt.	אני חושב שאני יודע איך הוא הרגיש. 
Yeah, if I hear this story one more time, I'm gonna be crying myself.	כן, אם אשמע את הסיפור הזה פעם נוספת, אבכה בעצמי.
Don't you have any NEW stories?	אין לך סיפורים *חדשים*? 
Well, actually, that's why I'm here on Scabb Island.	ובכן, למעשה זו הסיבה שאני נמצא כאן על אי הגלד.
I'm on a whole new adventure.	התחלתי בהרפתקה חדשה לגמרי.
Growing a mustache?	גידול שפם?
No.	לא.
Bigger than that.	גדול יותר מזה. 
A beard?!?	זקן?!?
No, I'm in search of treasure.	לא, אני תר אחרי מטמון.
The biggest treasure of them all.	המטמון הגדול מכולם.
A treasure so valuable and so well hidden, that it haunts the dreams of every pirate on the seas.	מטמון כה יקר, המוסתר בצורה כה טובה, עד כי הוא רודף כל שודד ים בחלומותיו.
You mean^	כוונתך^
Big Whoop?               \xFF\x02	א גרוייסע מציאה?               \xFF\x02
Big Whoop?	א גרוייסע מציאה?
None other.	הוא ולא אחר.
Then, why'd you come here?	אז, למה הגעת לכאן? 
There's no treasure on Scabb Island!	אין שום מטמון באי הגלד!
Well, I didn't know that before!	ובכן, לא ידעתי את זה קודם! 
Now I'm trying to charter a ship and look someplace else.	עכשיו אני מנסה לשכור ספינה ולחפש במקום אחר.
When I return, I'll have riches galore, and a whole new story.	כשאשוב, אהיה עשיר כקורח, עם סיפור חדש בפי.
Or you'll have died trying.	או שתמות תוך כדי ניסיון.
Either way, we won't have to hear about LeChuck anymore.	כך או כך, לא ניאלץ לשמוע עוד על לה צ'אק.
Oh, 508 bottles of beer on the wall^	הו, 508 בקבוקי בירה על הקיר^
Oh, 507 bottles of beer on the wall^	הו, 507 בקבוקי בירה על הקיר^
Oh, 506 bottles of beer on the wall^	הו, 506 בקבוקי בירה על הקיר^
Oh, 505 bottles of beer on the wall^	הו, 505 בקבוקי בירה על הקיר^
Oh, 504 bottles of beer on the wall^	הו, 504 בקבוקי בירה על הקיר^
Oh, 100 bottles of beer on the wall^	הו, 100 בקבוקי בירה על הקיר^
Oh, 99 bottles of beer on the wall^	הו, 99 בקבוקי בירה על הקיר^
Oh, 98 bottles of beer on the wall^	הו, 98 בקבוקי בירה על הקיר^
Oh, 97 bottles of beer on the wall^	הו, 97 בקבוקי בירה על הקיר^
Oh, 96 bottles of beer on the wall^	הו, 96 בקבוקי בירה על הקיר^
Oh, 42 bottles of beer on the wall^	הו, 42 בקבוקי בירה על הקיר^
Oh, 41 bottles of beer on the wall^	הו, 41 בקבוקי בירה על הקיר^
Oh, 40 bottles of beer on the wall^	הו, 40 בקבוקי בירה על הקיר^
Oh, 39 bottles of beer on the wall^	הו, 39 בקבוקי בירה על הקיר^
Oh, 38 bottles of beer on the wall^	הו, 38 בקבוקי בירה על הקיר^
Oh, 5 bottles of beer on the wall^	הו, 5 בקבוקי בירה על הקיר^
Oh, 4 bottles of beer on the wall^	הו, 4 בקבוקי בירה על הקיר^
Oh, 3 bottles of beer on the wall^	הו, 3 בקבוקי בירה על הקיר^
Oh, 2 bottles of beer on the wall^	הו, 2 בקבוקי בירה על הקיר^
Da, da da-da da da da da da^	דה, דה דה-דה דה דה דה דה דה^
Oh, \xFF\x04\x62\x01 bottles of beer on the wall^	הו, \xFF\x04\x62\x01 בקבוקי בירה על הקיר^
508 bottles of beer^	508 בקבוקי בירה^
507 bottles of beer^	507 בקבוקי בירה^
506 bottles of beer^	506 בקבוקי בירה^
505 bottles of beer^	505 בקבוקי בירה^
504 bottles of beer^	504 בקבוקי בירה^
100 bottles of beer^	100 בקבוקי בירה^
99 bottles of beer^	99 בקבוקי בירה^
98 bottles of beer^	98 בקבוקי בירה^
97 bottles of beer^	97 בקבוקי בירה^
96 bottles of beer^	96 בקבוקי בירה^
64 bottles of beer^	64 בקבוקי בירה^
42 bottles of beer^	42 בקבוקי בירה^
41 bottles of beer^	41 בקבוקי בירה^
40 bottles of beer^	40 בקבוקי בירה^
39 bottles of beer^	39 בקבוקי בירה^
38 bottles of beer^	38 בקבוקי בירה^
5 bottles of beer^	5 בקבוקי בירה^
4 bottles of beer^	4 בקבוקי בירה^
3 bottles of beer^	3 בקבוקי בירה^
2 bottles of beer^	2 בקבוקי בירה^
Da da-da da da^	דה דה-דה דה דה^
\xFF\x04\x62\x01 bottles of beer^	\xFF\x04\x62\x01 בקבוקי בירה^
Da da da da, da da da-da^	דה דה דה דה, דה דה דה-דה^
You take one down,\xFF\x01pass it around^	לוקחים אחד,|שמים 'תו בצד^
You take one down,\xFF\x01pass it around^	לוקחים אחד,|שמים 'תו בצד^
508!	508!
508 bottles of beer on the wall!	508 בקבוקי בירה על הקיר!
507 bottles of beer on the wall!	507 בקבוקי בירה על הקיר!
506 bottles of beer on the wall!	506 בקבוקי בירה על הקיר!
505 bottles of beer on the wall!	505 בקבוקי בירה על הקיר!
504 bottles of beer on the wall!	504 בקבוקי בירה על הקיר!
503 bottles of beer on the wall!	503 בקבוקי בירה על הקיר!
99 bottles of beer on the wall!	99 בקבוקי בירה על הקיר!
98 bottles of beer on the wall!	98 בקבוקי בירה על הקיר!
97 bottles of beer on the wall!	97 בקבוקי בירה על הקיר!
96 bottles of beer on the wall!	96 בקבוקי בירה על הקיר!
95 bottles of beer on the wall!	95 בקבוקי בירה על הקיר!
41 bottles of beer on the wall!	41 בקבוקי בירה על הקיר!
40 bottles of beer on the wall!	40 בקבוקי בירה על הקיר!
39 bottles of beer on the wall!	39 בקבוקי בירה על הקיר!
38 bottles of beer on the wall!	38 בקבוקי בירה על הקיר!
37 bottles of beer on the wall!	37 בקבוקי בירה על הקיר!
4 bottles of beer on the wall!	4 בקבוקי בירה על הקיר!
3 bottles of beer on the wall!	3 בקבוקי בירה על הקיר!
2 bottles of beer on the wall!	2 בקבוקי בירה על הקיר!
Da da-da da da da da da!	דה דה-דה דה דה דה דה דה!
\xFF\x04\x62\x01 bottles of beer on the wall!	\xFF\x04\x62\x01 בקבוקי בירה על הקיר!
There's something written underneath^	משהו כתוב מתחת^
It says, `REMEMBER TO TURN OFF!`	כתוב `זכרו לכבות!'`
knob	ידית
knob	ידית
knob	ידית
knob	ידית
It's empty.	זה ריק. 
Except for the baked-on weenie juice.	מלבד מיץ הנקניקיות שהתגבש.
It's open.	זה פתוח.
It's rusted open.	זה נשאר פתוח בגלל החלודה.
oven	תנור
It's stuck shut with old grease and pork fat.	זה תקוע לחלוטין בגלל שמן ישן ושאריות שומן.
Yuck.	איכס. 
oven	תנור
door	דלת
They're empty^	הם ריקים^
^but, mmmmmm, I can still smell the pickles.	^אבל, ממממממ, אני עדיין יכול להריח את החמוצים.
Why would I want to carry around big, empty, pickle-soaked barrels?	למה שארצה לסחוב איתי חביות גדולות, ריקות וספוגות ריח חמוצים?
barrels	חביות
`Help wanted.	 `דרושה עזרה.
One week's salary in advance.	משכורת של שבוע אחד מראש.
Inquire below.`	בירורים למטה.`
sign	שלט
ship	ספינה
What a dinky little door.	איזו דלת מעצבנת.
door	דלת
hatch	פתח
path	דרך
ship	ספינה
`THRIFTY-DIG\x0F -- For the treasure hunter on a budget.`	`החפרן-החסכן\x0F - עבור מחפש המטמון דל התקציב.`
I can't dig that, Daddy.	אל תחפור לי, אבא'לה.
shovel	את חפירה
Oops^	אופס^
^I think I broke the sign.	^אני חושב ששברתי את השלט. 
I'd better not do anymore damage.	כדאי שלא אעשה עוד נזק. 
`Welcome to Woodtick`	`ברוכים הבאים לכנימת-עץ`
`No Trezer huntin zone`	`אזור אסור לחיפושי מתמון`
sign	שלט
door	דלת
There's no glass in the window.	אין זכוכית בחלון. 
window	חלון
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
I intend to.	יש בכוונתי לעשות זאת.
riches	שפע
`The Bloody Lip Bar and Grill`	`בר וגריל השפה המדממת`
sign	שלט
Guybrush	ברנשצבע
Largo	תמיר
Where do you think YOU'RE going, fancy-pants?	לאן אתה חושב ש*אתה* הולך, גנדרני?
Whoops.  Excuse me.	אופס. סלח לי.
Outta my way, fancy-pants!	זוז מדרכי, גנדרני!
On second thought, stop right there!	במחשבה שנייה, עצור שם!
You ain't from these parts, are ya?	אתה לא מהאיזור, נכון?
This here's a toll bridge.  You gotta pay.	זה גשר אגרה. אתה חייב לשלם.
\x07Is this some sort of bribe situation?\xFF\x09\x19\x00	\x07זה סוג של שוחד?\xFF\x09\x19\x00
\x07Sure.  Take my money.  I don't want any trouble.\xFF\x09\x06\x00	\x07בטח. קח את הכסף שלי. אני לא רוצה בעיות.\xFF\x09\x06\x00
\x07Who's gonna make me, shorty?\xFF\x09\x17\x00	\x07מי יכריח אותי, נמוכצ'יק?\xFF\x09\x17\x00
\x07I don't pay for nothin'.  I'm a pirate!\xFF\x09\x1B\x00	\x07אני לא משלם על כלום. אני שודד ים!\xFF\x09\x1B\x00
No, more like extortion.	לא, יותר כמו סחיטה.
Here--allow me to demonstrate.	הנה - הרשה לי להדגים. 
Aw, there goes all my fun.	אוף, הלך לי כל הכיף.
Now I don't get to do this.	עכשיו אני לא אזכה לעשות את זה.
Tough guy, eh?	בחור קשוח, הא?
Help!	הצילו! 
Police!	משטרה! 
Ha ha ha!	חה חה חה! 
Scream as loud as you want!	אתה יכול לצרוח כמה שתרצה!
There are no police on Scabb Island!	אין משטרה על אי הגלד!
\x07Then who keeps up the law and maintains order?	\x07אז מי שומר על החוק ועל הסדר?
\x07Then who eats the donuts and roughs-up the transients?	\x07אז מי אוכל את הדונאטס ומרביץ לעוברים ושבים?
\x07Please!  Not in my new coat!	\x07בבקשה! לא במעיל שלי!
\x07OK, put me down now and I won't have to hurt you.	\x07בסדר, תוריד אותי עכשיו ולא אאלץ לפגוע בך.
I'm the only law on this island!	אני החוק היחיד על האי הזה!
I roughs-up what needs roughing-up on this island!	אני מכסח את מה שדורש כיסוח על האי הזה!
Maybe I should make you one out of cement!	אולי אני צריך להכין לך אחד מבטון!
Ha ha ha!	חה חה חה! 
That's a good one.  Maybe I won't kill you right now.	זה טוב. אולי אני לא אהרוג אותך מיד.
Hey!  Yer loaded!	היי! 'תה טחון!
This is my lucky night!	זה ליל המזל שלי!
Remember^	זכור^
Wherever you go^	לאן שלא תלך^
On sea or on land,	ביבשה או בים,
You can't ever hide	מתמיר גדליהו
From Largo LaGrande!	לא תוכל להתחבא לעולם!
Guybrush	ברנשצבע
Tough town.	עיירה קשוחה.
I guess I should have got those traveler's checks.	לו רק הייתי לוקח איתי פנקס של המחאות נוסעים.
	
Guybrush	ברנשצבע
This maybe a lot of money, but it's nothing  compared to how rich I'll be when I find Big Whoop.	אולי זה הרבה כסף, אבל זה כלום לעומת העושר שאשיג כאשר אמצא את א גרוייסע מציאה.
I think I'm pretty well prepared, financially, for now.	מבחינה כספית, אני חושב שאני די מסודר, בינתיים.
I should be set for the whole trip with this.	עם זה, אני אמור להיות מוכן לכל המסע.
This should be plenty of money to charter a ship.	זה אמור להיות די והותר כסף על מנת לשכור ספינה.
Look at all this!	תסתכלו על כל זה! 
I've got enough to buy my own ship--in five different currencies.	יש לי מספיק כדי לקנות ספינה משלי--בחמישה מטבעות שונים.
I'll be traveling first class on this treasure hunt.	בחיפוש המטמון הזה אני הולך לנסוע במחלקה ראשונה.
It sure took a long time to save all this.	לקח לא מעט זמן לצבור את ההון הזה.
No more part-time circus work for me.	לא עוד עבודות זמניות בקרקס עבורי.
Of course, this is only a fraction of what I'll have after I find Big Whoop.	כמובן, זה רק שבריר ממה שיהיה לי לאחר שאמצא את א גרוייסע מציאה.
Hmmm^  Maybe I should get a money belt.	המממ^ אולי אני צריך חגורת כסף.
I wonder what I'll buy first^	אני תוהה מה אקנה קודם^
Boy, this stuff's heavy.	בחיי, זה כבד.
I could just look at this money all day.	אני מסוגל להתבונן בכסף הזה כל היום.
Money, money, money.	כסף, כסף, כסף.
I'm confused by this strange urge to squander my wealth on immoral and dangerous vices.	אני מבולבל מהדחף המוזר הזה לבזבז את כל הוני על חטאים מושחתים ומסוכנים.
I wish all those girls who wouldn't go out with me in school could see this!	הלוואי שכל הבנות שלא יצאו איתי בבית הספר היו רואות את זה!
\xFF\x05\x01\x40	\xFF\x05\x01\x40
hastily scratched message	הודעה ששורבטה בחופזה
I don't think it's my prescription.	אני לא חושב שזה המספר שלי.
Everything looks all blurry.	הכל נראה מטושטש כזה.
monocle	משקף
I'm not dressed for wrestling.	אני לא לבוש להיאבקות.
What is this?  Midget wrestling?	מה זה? היאבקות גמדים?
Poor guy.	בחור מסכן.
cartographer	מפאי
I can't reach it.	אני לא מגיע לזה.
map	מפה
I can't reach it.	אני לא מגיע לזה.
map	מפה
I can't reach it.	אני לא מגיע לזה.
map	מפה
It's a pile of blank paper.	זו ערימה של נייר חלק.
I've got enough.	יש לי מספיק.
pile of paper	ערימת ניירות
It's blank.	זה חלק.
paper	נייר
Reminds me of a dollhouse I once had.	מזכיר לי בית בובות שהיה לי.
I mean, my SISTER once had.	אני מתכוון, שהיה *לאחותי*.
It's too small.	זה קטן מדי.
bed	מיטה
doorway	פתח
Wally	וולי
Nice monocle.	משקף יפה.
Thanks.  I can't see a thing without it.	תודה. אני לא רואה כלום בלעדיו.
Did you pick up my love potion?	אספת את שיקוי האהבה שלי?
Oh yeah--love potion.	אה כן--שיקוי אהבה.
That's what I was supposed to get.	זה מה שהייתי אמור להביא.
Hello.	שלום.
Hi Wally.	היי וולי.
Excuse me^	סלח לי^
Oh yes.  Hi there.	הו כן. שלום לך.
Can I help you?	אני יכול לעזור לך?
Who's there?	מי שם?
I can't see anything without my monocle.	אני לא רואה כלום בלי המשקף שלי.
Oh, hello Mr. Brush.	אה, שלום מר צבע.
Yes?	כן?
	
